name,handedness,height,weight,avg,HR,id
Vida Blue,B,72,189,0.104,4,1
Joaquin Andujar,B,72,170,0.127,5,2
Fritz Peterson,B,72,185,0.159,2,3
Buddy Biancalana,B,71,160,0.205,6,4
Steve Huntz,B,73,204,0.206,16,5
Steve Jeltz,B,71,180,0.21,5,6
Rusty Torres,B,70,175,0.212,35,7
Joe Lovitto,B,72,185,0.216,4,8
Vic Harris,B,71,165,0.217,13,9
Darrel Chaney,B,74,188,0.217,14,10
Al Weis,B,72,160,0.219,7,11
Chris Bando,B,72,195,0.227,27,12
Tim Blackwell,B,71,170,0.228,6,13
Gene Michael,B,74,183,0.229,15,14
Dave McKay,B,73,195,0.229,21,15
Billy Smith,B,74,185,0.23,17,16
Roger Metzger,B,72,165,0.231,5,17
Ted Kubiak,B,72,175,0.231,13,18
Buck Rodgers,B,74,190,0.232,31,19
Paul Popovich,B,72,175,0.233,14,20
Bill Sudakis,B,73,190,0.234,59,21
Rick Sweet,B,73,200,0.234,6,22
Rodney Scott,B,72,160,0.236,3,23
Bud Harrelson,B,71,160,0.236,7,24
Bob Meacham,B,73,175,0.236,8,25
Paul Householder,B,72,180,0.236,29,26
Rafael Landestoy,B,70,165,0.237,4,27
Jimmy Stewart,B,72,165,0.237,8,28
Julio Cruz,B,69,165,0.237,23,29
Ron Roenicke,B,72,180,0.238,17,30
Chico Ruiz,B,72,169,0.24,2,31
Mike Ramsey,B,73,170,0.24,2,32
Wayne Tolleson,B,69,160,0.241,9,33
Manny Castillo,B,69,160,0.242,3,34
Joe Wallis,B,71,180,0.244,16,35
Sandy Alomar,B,69,140,0.245,13,36
Bryan Little,B,70,160,0.245,3,37
George Wright,B,71,180,0.245,42,38
Tom Tresh,B,73,180,0.245,153,39
Alan Ashby,B,74,185,0.245,90,40
Bobby Brown,B,74,190,0.245,26,41
Mike Young,B,74,195,0.247,72,42
Derrel Thomas,B,72,160,0.249,43,43
Tony Scott,B,72,164,0.249,17,44
Wilbur Howard,B,74,170,0.25,6,45
Bob Stinson,B,71,180,0.25,33,46
